id,src,dst,value
1,azure,.net,20.933192346640457
2,sql-server,.net,32.322524219339904
3,asp.net,.net,48.40702996199019
4,entity-framework,.net,24.37090250532431
5,wpf,.net,32.35092522005943
6,linq,.net,20.501743858149066
7,wcf,.net,28.074400427611113
8,c#,.net,62.167895042923824
9,tdd,agile,37.146589924204555
10,codeigniter,ajax,23.19190040565183
11,jquery,ajax,50.56672861589973
12,mysql,ajax,24.80008942291756
13,css,ajax,26.613713724688935
14,php,ajax,28.01067925660409
15,javascript,ajax,24.39914442262329
16,json,ajax,32.94744601093195
17,cloud,amazon-web-services,21.31860679884144
18,azure,amazon-web-services,21.30994959394633
19,devops,amazon-web-services,24.98353120101788
20,docker,amazon-web-services,32.198071014100535
21,ios,android,39.77803622570551
22,android-studio,android,33.661083176336234
23,java,android,50.984730766476574
24,android,android-studio,33.661083176336234
25,typescript,angular,31.03648178393663
26,typescript,angular2,38.87998222920348
27,angularjs,angular2,26.032697164489267
28,ionic-framework,angularjs,29.840445766924983
29,reactjs,angularjs,31.62020230471286
30,mongodb,angularjs,31.510711170360768
31,css,angularjs,22.210413043130057
32,sass,angularjs,20.425878416671157
33,twitter-bootstrap,angularjs,24.153685861107462
34,javascript,angularjs,39.37662666227728
35,express,angularjs,24.43382880528071
36,node.js,angularjs,47.56352702530362
37,jquery,angularjs,30.34794743352026
38,asp.net-web-api,angularjs,20.11309966430225
39,angular2,angularjs,26.032697164489267
40,html5,angularjs,23.082664020750425
41,nginx,apache,48.583173464083416
42,mysql,apache,29.097834547698525
43,linux,apache,28.168213013158717
44,scala,apache-spark,50.79184563415286
45,hadoop,apache-spark,59.82678558413366
46,rest,api,22.175589109335288
47,.net,asp.net,48.40702996199019
48,sql,asp.net,21.6722646057341
49,sql-server,asp.net,59.67328948689907
50,c#,asp.net,80.4485421720991
51,asp.net-web-api,asp.net,47.38627215537402
52,jquery,asp.net,28.723178220098205
53,entity-framework,asp.net,48.1136690894626
54,mvc,asp.net,22.828412163028812
55,azure,asp.net,23.764072995058054
56,wpf,asp.net,28.15902333873328
57,linq,asp.net,31.581277746170855
58,wcf,asp.net,40.951421726059984
59,vb.net,asp.net,23.711346281144564
60,asp.net,asp.net-web-api,47.38627215537402
61,azure,asp.net-web-api,21.585694763313093
62,c#,asp.net-web-api,26.748821548289044
63,angularjs,asp.net-web-api,20.11309966430225
64,sql-server,asp.net-web-api,25.67647418219353
65,wcf,asp.net-web-api,28.356535431019818
66,entity-framework,asp.net-web-api,31.18349509959109
67,.net,azure,20.933192346640457
68,c#,azure,22.14448701181891
69,asp.net-web-api,azure,21.585694763313093
70,asp.net,azure,23.764072995058054
71,amazon-web-services,azure,21.30994959394633
72,linux,bash,38.88811575032741
73,shell,bash,24.71706557378606
74,git,bash,27.096957129984922
75,jquery,bootstrap,22.406154649004446
76,css,bootstrap,24.71031260188158
77,c++,c,80.89104614147385
78,python,c,22.320432253935472
79,embedded,c,28.403647769064776
80,java,c,26.04945930410044
81,linq,c#,25.222931643142886
82,sql,c#,25.613903617043626
83,asp.net,c#,80.4485421720991
84,asp.net-web-api,c#,26.748821548289044
85,entity-framework,c#,30.728425581793207
86,vb.net,c#,25.185135956324604
87,.net,c#,62.167895042923824
88,sql-server,c#,45.91465123552504
89,xamarin,c#,24.673147548722167
90,azure,c#,22.14448701181891
91,wpf,c#,38.95749217569616
92,unity3d,c#,25.000233473145794
93,wcf,c#,29.299880033528954
94,visual-studio,c#,27.71554342863794
95,qt,c++,30.144660032562147
96,c,c++,80.89104614147385
97,java,c++,23.201095658265963
98,python,c++,24.301045666206715
99,amazon-web-services,cloud,21.31860679884144
100,mysql,codeigniter,22.596885929311604
101,jquery,codeigniter,26.729771309673538
102,laravel,codeigniter,31.658709317460826
103,php,codeigniter,37.40149646160739
104,ajax,codeigniter,23.19190040565183
105,wordpress,codeigniter,25.13313076574851
106,ajax,css,26.613713724688935
107,mysql,css,27.010622489444646
108,photoshop,css,20.855721424968042
109,jquery,css,66.67420569975171
110,html,css,126.57112712972764
111,javascript,css,75.53660009612221
112,html5,css,87.13826986156899
113,bootstrap,css,24.71031260188158
114,twitter-bootstrap,css,31.56405510257182
115,less,css,25.340535324481124
116,wordpress,css,31.264824668848835
117,angularjs,css,22.210413043130057
118,sass,css,40.96336126549837
119,php,css,51.447604909108925
120,amazon-web-services,devops,24.98353120101788
121,docker,devops,24.554202817668248
122,jenkins,devops,23.602587607535273
123,python,django,49.905942953683244
124,flask,django,42.33664313992495
125,postgresql,django,22.48925264318247
126,amazon-web-services,docker,32.198071014100535
127,go,docker,28.375405907346195
128,devops,docker,24.554202817668248
129,jenkins,docker,26.528607599809522
130,wordpress,drupal,24.919296182152596
131,maven,eclipse,25.314659453818305
132,redis,elasticsearch,29.349098676116647
133,mongodb,elasticsearch,20.22800685545149
134,c,embedded,28.403647769064776
135,.net,entity-framework,24.37090250532431
136,wpf,entity-framework,24.228201856682706
137,asp.net,entity-framework,48.1136690894626
138,sql-server,entity-framework,32.62377908692168
139,linq,entity-framework,54.00592956009751
140,wcf,entity-framework,32.81595165036012
141,asp.net-web-api,entity-framework,31.18349509959109
142,c#,entity-framework,30.728425581793207
143,vba,excel,45.26074988295236
144,excel-vba,excel,54.50523562629742
145,vba,excel-vba,49.61621727834464
146,excel,excel-vba,54.50523562629742
147,reactjs,express,31.924272588963444
148,redux,express,21.543458417676824
149,angularjs,express,24.43382880528071
150,node.js,express,58.829076622959285
151,mongodb,express,48.76806081178149
152,python,flask,25.251371861419308
153,django,flask,42.33664313992495
154,jenkins,git,23.075440145975143
155,github,git,56.20246391729147
156,bash,git,27.096957129984922
157,linux,git,27.70879277472438
158,git,github,56.20246391729147
159,docker,go,28.375405907346195
160,scala,hadoop,21.62593446217338
161,apache-spark,hadoop,59.82678558413366
162,scala,haskell,22.757440009799737
163,jsp,hibernate,39.406945985510596
164,java,hibernate,32.52356510452292
165,spring-boot,hibernate,30.232903706376273
167,maven,hibernate,34.100052024791246
168,rest,hibernate,21.646667877763228
169,web-services,hibernate,21.210956925188103
170,spring-mvc,hibernate,64.109898213092265
171,java-ee,hibernate,39.90817378554484
172,spring,hibernate,103.26828446355263
173,mysql,html,21.35568889023083
174,javascript,html,59.75548884052987
175,php,html,45.66104087971069
176,css,html,126.57112712972764
177,sass,html,23.639529235488705
178,jquery,html,44.23362023021944
179,php,html5,32.350506919162136
180,wordpress,html5,22.216440754019796
181,javascript,html5,47.00636375705097
182,angularjs,html5,23.082664020750425
183,less,html5,20.92318766828214
184,twitter-bootstrap-3,html5,22.161036413455076
185,jquery,html5,47.49277338891457
186,css,html5,87.13826986156899
187,twitter-bootstrap,html5,26.230983374393585
188,sass,html5,32.070376656092115
189,angularjs,ionic-framework,29.840445766924983
190,android,ios,39.77803622570551
191,swift,ios,87.21964246099864
192,osx,ios,30.341581071883272
193,objective-c,ios,78.75928046651394
194,iphone,ios,57.15857405623158
195,xcode,ios,46.36509077387072
196,swift,iphone,36.02337467321895
197,xcode,iphone,34.71286507120063
198,ios,iphone,57.15857405623158
199,objective-c,iphone,47.97788760375011
200,spring,java,43.954259225314345
201,c++,java,23.201095658265963
202,jsp,java,21.619803035260286
203,java-ee,java,25.116182820462374
204,android,java,50.984730766476574
205,hibernate,java,32.52356510452292
206,c,java,26.04945930410044
207,spring-mvc,java,25.041214810765112
208,spring,java-ee,39.812105148516856
209,hibernate,java-ee,39.90817378554484
210,spring-mvc,java-ee,27.964591852574834
211,java,java-ee,25.116182820462374
212,jquery,javascript,57.84183152642191
213,twitter-bootstrap,javascript,20.238823043724278
214,node.js,javascript,42.73172932305638
215,mysql,javascript,22.91619071652686
216,angularjs,javascript,39.37662666227728
217,php,javascript,47.3281575555596
218,ajax,javascript,24.39914442262329
219,reactjs,javascript,33.56735910485145
220,javascript,75.53660009612221
221,html,javascript,59.75548884052987
222,sass,javascript,23.782469883653217
223,html5,javascript,47.00636375705097
224,git,jenkins,23.075440145975143
225,devops,jenkins,23.602587607535273
226,maven,jenkins,33.47708077913068
227,docker,jenkins,26.528607599809522
228,json,jquery,20.62957734085586
229,html,jquery,44.23362023021944
230,wordpress,jquery,28.87017059988903
231,sass,jquery,24.68172813218768
232,asp.net,jquery,28.723178220098205
233,php,jquery,46.619090898232265
234,css,jquery,66.67420569975171
235,html5,jquery,47.49277338891457
236,ajax,jquery,50.56672861589973
237,twitter-bootstrap,jquery,36.79192549817867
238,mysql,jquery,35.71297781108102
239,angularjs,jquery,30.34794743352026
240,twitter-bootstrap-3,jquery,21.153243249312748
241,javascript,jquery,57.84183152642191
242,codeigniter,jquery,26.729771309673538
243,bootstrap,jquery,22.406154649004446
244,rest,json,25.049498396111403
245,jquery,json,20.62957734085586
246,xml,json,42.721668458812765
247,ajax,json,32.94744601093195
248,hibernate,jsp,39.406945985510596
249,java,jsp,21.619803035260286
250,spring-mvc,jsp,24.06449025192885
251,spring,jsp,30.61333985121873
252,vue.js,laravel,28.79989665496036
253,php,laravel,45.88473321024233
254,mysql,laravel,20.23026605428928
255,codeigniter,laravel,31.658709317460826
256,sass,less,60.545941127987604
257,css,less,25.340535324481124
258,tml5,less,20.92318766828214
259,wcf,linq,34.58709265871981
260,sql-server,linq,20.444792111689296
261,c#,linq,25.222931643142886
262,asp.net,linq,31.581277746170855
263,entity-framework,linq,54.00592956009751
264,.net,linq,20.501743858149066
265,wpf,linq,26.468391555977576
266,bash,linux,38.88811575032741
267,git,linux,27.70879277472438
268,unix,linux,25.357412874239948
269,osx,linux,23.41281493970028
270,ubuntu,linux,29.894342585346926
271,shell,linux,21.131792917374074
272,nginx,linux,21.080478447912995
273,windows,linux,29.945400773839896
274,python,linux,21.17036044400364
275,apache,linux,28.168213013158717
276,python,machine-learning,30.27077436735024
277,r,machine-learning,23.21869703965049
278,r,matlab,20.021932698311588
279,spring-mvc,maven,24.933802259856545
280,jenkins,maven,33.47708077913068
281,eclipse,maven,25.314659453818305
282,spring,maven,39.53022984092444
283hibernate,maven,34.100052024791246
284,express,mongodb,48.76806081178149
285,node.js,mongodb,58.65780661217398
286,reactjs,mongodb,22.3209731892725
287,postgresql,mongodb,22.855557000277642
288,mysql,mongodb,26.36926476163211
289,redis,mongodb,33.554731128787694
290,elasticsearch,mongodb,20.22800685545149
291,angularjs,mongodb,31.510711170360768
292,asp.net,mvc,22.828412163028812
293,css,mysql,27.010622489444646
294,jquery,mysql,35.71297781108102
295,mongodb,mysql,26.36926476163211
296,laravel,mysql,20.23026605428928
297,php,mysql,65.07025912410015
298,postgresql,mysql,25.909942488756776
299,javascript,mysql,22.91619071652686
300,html,mysql,21.35568889023083
301,ajax,mysql,24.80008942291756
302,apache,mysql,29.097834547698525
303,codeigniter,mysql,22.596885929311604
304,linux,nginx,21.080478447912995
305,redis,nginx,27.473141406934243
306,apache,nginx,48.583173464083416
307,javascript,node.js,42.73172932305638
308,reactjs,node.js,55.192747551978705
309,express,node.js,58.829076622959285
310,angularjs,node.js,47.56352702530362
311,mongodb,node.js,58.65780661217398
312,react-native,node.js,22.16325031188543
313,redux,node.js,23.40192325369395
314,xcode,objective-c,43.41882511710604
315,iphone,objective-c,47.97788760375011
316,swift,objective-c,79.08853577916759
317,ios,objective-c,78.75928046651394
318,osx,objective-c,24.763189829170084
319,sql,oracle,21.82760476470736
320,plsql,oracle,45.06151433906438
321,windows,osx,20.860246776482484
322,objective-c,osx,24.763189829170084
323,ios,osx,30.341581071883272
324,linux,osx,23.41281493970028
325,regex,perl,21.364077886249937
326,css,photoshop,20.855721424968042
327,css,php,51.447604909108925
328,laravel,php,45.88473321024233
329,wordpress,php,41.03704549651282
330,jquery,php,46.619090898232265
331,javascript,php,47.3281575555596
332,ajax,php,28.01067925660409
333,html,php,45.66104087971069
334,mysql,php,65.07025912410015
335,html5,php,32.350506919162136
336,codeigniter,php,37.40149646160739
337,oracle,plsql,45.06151433906438
338,sql,plsql,22.717442387504864
339,mysql,postgresql,25.909942488756776
340,redis,postgresql,26.28018174137368
341,ruby-on-rails,postgresql,25.69011032907274
342,mongodb,postgresql,22.855557000277642
343,django,postgresql,22.48925264318247
344,ruby,postgresql,21.79517505760149
345,windows,powershell,20.24069060325144
346,flask,python,25.251371861419308
347,c++,python,24.301045666206715
348,machine-learning,python,30.27077436735024
349,django,python,49.905942953683244
350,c,python,22.320432253935472
351,r,python,28.53574785327096
352,linux,python,21.17036044400364
353,c++,qt,30.144660032562147
354,python,r,28.53574785327096
355,matlab,r,20.021932698311588
356,machine-learning,r,23.21869703965049
357,reactjs,react-native,61.53102297253567
358,redux,react-native,25.480581476491025
359,node.js,react-native,22.16325031188543
360,node.js,reactjs,55.192747551978705
361,sass,reactjs,24.9979588147436
362,react-native,reactjs,61.53102297253567
363,redux,reactjs,65.12985505970208
364,angularjs,reactjs,31.62020230471286
365,mongodb,reactjs,22.3209731892725
366,express,reactjs,31.924272588963444
367,javascript,reactjs,33.56735910485145
368,mongodb,redis,33.554731128787694
369,nginx,redis,27.473141406934243
370,elasticsearch,redis,29.349098676116647
371,postgresql,redis,26.28018174137368
372,reactjs,redux,65.12985505970208
373,node.js,redux,23.40192325369395
374,react-native,redux,25.480581476491025
375,express,redux,21.543458417676824
376,perl,regex,21.364077886249937
377,spring,rest,26.11759862631264
378,web-services,rest,33.69066907565828
379,api,rest,22.175589109335288
380,hibernate,rest,21.646667877763228
381,json,rest,25.049498396111403
382,postgresql,ruby,21.79517505760149
383,ruby-on-rails,ruby,95.36131071220332
384,postgresql,ruby-on-rails,25.69011032907274
385,ruby,ruby-on-rails,95.36131071220332
386,jquery,sass,24.68172813218768
387,javascript,sass,23.782469883653217
388,reactjs,sass,24.9979588147436
389,html,sass,23.639529235488705
390,html5,sass,32.070376656092115
391,less,sass,60.545941127987604
392,angularjs,sass,20.425878416671157
393,css,sass,40.96336126549837
394,twitter-bootstrap,sass,20.18548801090922
395,hadoop,scala,21.62593446217338
396,haskell,scala,22.757440009799737
397,apache-spark,scala,50.79184563415286
398,testing,selenium,33.685943095200074
399,bash,shell,24.71706557378606
400,linux,shell,21.131792917374074
401,web-services,spring,20.16560629687762
402,spring-mvc,spring,63.330217313152836
403,rest,spring,26.11759862631264
404,spring-boot,spring,57.04039265671136
405,maven,spring,39.53022984092444
406,java-ee,spring,39.812105148516856
407,hibernate,spring,103.26828446355263
408,jsp,spring,30.61333985121873
409,java,spring,43.954259225314345
410,spring,spring-boot,57.04039265671136
411,hibernate,spring-boot,30.232903706376273
412,spring-mvc,spring-boot,60.61682620955685
413,maven,spring-mvc,24.933802259856545
414,java-ee,spring-mvc,27.964591852574834
415,spring,spring-mvc,63.330217313152836
416,jsp,spring-mvc,24.06449025192885
417,spring-boot,spring-mvc,60.61682620955685
418,hibernate,spring-mvc,64.109898213092265
419,java,spring-mvc,25.041214810765112
420,plsql,sql,22.717442387504864
421,sql-server,sql,24.354772917848095
422,c#,sql,25.613903617043626
423,oracle,sql,21.82760476470736
424,asp.net,sql,21.6722646057341
425,asp.net-web-api,sql-server,25.67647418219353
426,wcf,sql-server,26.29146633095843
427,vb.net,sql-server,21.788893442838376
428,.net,sql-server,32.322524219339904
429,entity-framework,sql-server,32.62377908692168
430,asp.net,sql-server,59.67328948689907
431,linq,sql-server,20.444792111689296
432,sql,sql-server,24.354772917848095
433,c#,sql-server,45.91465123552504
434,xcode,swift,48.62033486702057
435,iphone,swift,36.02337467321895
436,objective-c,swift,79.08853577916759
437,ios,swift,87.21964246099864
438,agile,tdd,37.146589924204555
439,selenium,testing,33.685943095200074
440,angularjs,twitter-bootstrap,24.153685861107462
441,html5,twitter-bootstrap,26.230983374393585
442,sass,twitter-bootstrap,20.18548801090922
443,jquery,twitter-bootstrap,36.79192549817867
444,javascript,twitter-bootstrap,20.238823043724278
445,css,twitter-bootstrap,31.56405510257182
446,jquery,twitter-bootstrap-3,21.153243249312748
447,html5,twitter-bootstrap-3,22.161036413455076
448,angular2,typescript,38.87998222920348
449,angular,typescript,31.03648178393663
450,linux,ubuntu,29.894342585346926
451,c#,unity3d,25.000233473145794
452,linux,unix,25.357412874239948
453,asp.net,vb.net,23.711346281144564
454,sql-server,vb.net,21.788893442838376
455,c#,vb.net,25.185135956324604
456,excel-vba,vba,49.61621727834464
457,excel,vba,45.26074988295236
458,c#,visual-studio,27.71554342863794
459,laravel,vue.js,28.79989665496036
460,.net,wcf,28.074400427611113
461,entity-framework,wcf,32.81595165036012
462,c#,wcf,29.299880033528954
463,sql-server,wcf,26.29146633095843
464,wpf,wcf,53.17990345536856
465,linq,wcf,34.58709265871981
466,asp.net,wcf,40.951421726059984
467,asp.net-web-api,wcf,28.356535431019818
468,rest,web-services,33.69066907565828
469,hibernate,web-services,21.210956925188103
470,spring,web-services,20.16560629687762
471,powershell,windows,20.24069060325144
472,linux,windows,29.945400773839896
473,osx,windows,20.860246776482484
474,php,wordpress,41.03704549651282
475,html5,wordpress,22.216440754019796
476,css,wordpress,31.264824668848835
477,codeigniter,wordpress,25.13313076574851
478,drupal,wordpress,24.919296182152596
479,jquery,wordpress,28.87017059988903
480,linq,wpf,26.468391555977576
481,wcf,wpf,53.17990345536856
482,entity-framework,wpf,24.228201856682706
483,c#,wpf,38.95749217569616
484,asp.net,wpf,28.15902333873328
485,.net,wpf,32.35092522005943
486,c#,xamarin,24.673147548722167
487,objective-c,xcode,43.41882511710604
488,swift,xcode,48.62033486702057
489,iphone,xcode,34.71286507120063
490,ios,xcode,46.36509077387072
491,json,xml,42.721668458812765
